symbol,company_name,isin,series,market_cap_cr
BEPL,Bhansali Engineering Polymers Limited,INE922A01025,EQ,2414.92
BERGEPAINT,Berger Paints (I) Limited,INE463A01038,EQ,60072.46
BESTAGRO,Best Agrolife Limited,INE052T01021,EQ,0
BETA,Beta Drugs Limited,INE351Y01019,EQ,0
BFINVEST,BF Investment Limited,INE878K01010,EQ,1648.71
BFUTILITIE,BF Utilities Limited,INE243D01012,EQ,2343.68
BGLOBAL,Bharatiya Global Infomedia Limited,INE224M01013,BZ,0
BGRENERGY,BGR Energy Systems Limited,INE661I01014,BE,2360.04
BHAGCHEM,Bhagiradha Chemicals & Industries Limited,INE414D01027,EQ,3500.42
BHAGERIA,Bhageria Industries Limited,INE354C01027,BE,0
BHAGYANGR,Bhagyanagar India Limited,INE458B01036,EQ,0
BHANDARI,Bhandari Hosiery Exports Limited,INE474E01029,EQ,0
BHARATCOAL,Bharat Coking Coal Limited,INE05XR01022,EQ,17487.04
BHARATFORG,Bharat Forge Limited,INE465A01025,EQ,93036.05
BHARATGEAR,Bharat Gears Limited,INE561C01019,BE,0
BHARATRAS,Bharat Rasayan Limited,INE838B01021,EQ,2333.76
BHARATSE,Bharat Seats Limited,INE415D01024,EQ,1129.46
BHARATWIRE,Bharat Wire Ropes Limited,INE316L01019,EQ,1434.79
BHARTIARTL,Bharti Airtel Limited,INE397D01024,EQ,1110530.63
BHARTIHEXA,Bharti Hexacom Limited,INE343G01021,EQ,73997.5
BHEL,Bharat Heavy Electricals Limited,INE257A01026,EQ,131883.15
BI,Bilcare Limited,INE986A01012,BE,0
BIGBLOC,Bigbloc Construction Limited,INE412U01025,EQ,0
BIKAJI,Bikaji Foods International Limited,INE00E101023,EQ,16860.77
BIL,Bhartiya International Limited,INE828A01016,EQ,0
BILVYAPAR,BIL VYAPAR LIMITED,INE071A01013,BE,0
BIMETAL,Bimetal Bearings Limited,INE469A01019,EQ,0
BIOCON,Biocon Limited,INE376G01013,EQ,67843.09
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,INE829A01014,EQ,0
BIRLACABLE,Birla Cable Limited,INE800A01015,EQ,0
BIRLACORPN,Birla Corporation Limited,INE340A01012,EQ,7310.5
BIRLAMONEY,Aditya Birla Money Limited,INE865C01022,EQ,0
BIRLANU,BirlaNu Limited,INE557A01011,EQ,1024.62
BIRLAPREC,Birla Precision Technologies Limited,INE372E01025,EQ,0
BLACKBUCK,BLACKBUCK LIMITED,INE0UIZ01018,EQ,9942.35
BLACKROSE,Black Rose Inds. Limited,INE761G01016,BE,0
BLAL,BEML Land Assets Limited,INE0N7W01012,EQ,0
BLBLIMITED,BLB Limited,INE791A01024,EQ,0
BLEL,Behari Lal Engineering Limited,INE1EEM01017,EQ,0
BLIL,Balmer Lawrie Investments Limited,INE525F01025,EQ,1565.57
BLISSGVS,Bliss GVS Pharma Limited,INE416D01022,BE,4634.61
BLKASHYAP,B. L. Kashyap and Sons Limited,INE350H01032,EQ,1211.29
BLS,BLS International Services Limited,INE153T01027,EQ,10793.79
BLSE,BLS E-Services Limited,INE0NLT01010,EQ,2070.62
BLUECHIP,Blue Chip India Limited,INE657B01025,BE,0
BLUECLOUDS,Blue Cloud Softech Solutions Limited,INE373T01047,EQ,0
BLUECOAST,Blue Coast Hotels Limited,INE472B01011,EQ,0
BLUEDART,Blue Dart Express Limited,INE233B01017,EQ,11281.21
BLUEJET,Blue Jet Healthcare Limited,INE0KBH01020,EQ,8892.71
BLUESTARCO,Blue Star Limited,INE472A01039,EQ,32544.71
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,INE304W01038,EQ,7930.39
BLUSPRING,Bluspring Enterprises Limited,INE0U4101014,EQ,1321.81
BMWVENTLTD,BMW Ventures Limited,INE965W01036,EQ,0
BNAGROCHEM,BN Agrochem Limited,INE00HZ01011,EQ,2795.33
BNALTD,B & A Limited,INE489D01011,BE,0
BODALCHEM,Bodal Chemicals Limited,INE338D01028,EQ,0
BOHRAIND,Bohra Industries Limited,INE802W01023,EQ,0
BOMDYEING,Bombay Dyeing & Mfg Company Limited,INE032A01023,EQ,2625.06
BONLON,Bonlon Industries Limited,INE0B9A01018,EQ,0
BORANA,Borana Weaves Limited,INE16SF01016,EQ,0
BOROLTD,Borosil Limited,INE02PY01013,EQ,2650.66
BORORENEW,BOROSIL RENEWABLES LIMITED,INE666D01022,EQ,7639.12
BOROSCI,Borosil Scientific Limited,INE02L001032,EQ,1361.33
BOSCH-HCIL,BOSCH HOME COMFORT INDIA LIMITED,INE782A01015,EQ,3634.74
BOSCHLTD,Bosch Limited,INE323A01026,EQ,115184.76
BPCL,Bharat Petroleum Corporation Limited,INE029A01011,EQ,131108.54
BPL,BPL Limited,INE110A01019,EQ,0
BPLPHARMA,Bharat Parenterals Limited,INE365Y01019,EQ,0
